epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18838.2,0.06235,0.25201,0.89596,0.99661,0.99339,0.99491,0.99038,0.19442,0.33264,0.25737,0.005842,0.005842,0.005842
44,19275.2,0.05945,0.25165,0.8939,0.99479,0.98782,0.99472,0.99471,0.14558,0.25746,0.18632,0.005743,0.005743,0.005743
45,19711.8,0.05954,0.25009,0.89226,0.99351,0.99057,0.99474,0.99471,0.17701,0.30347,0.24649,0.005644,0.005644,0.005644
46,20147.9,0.06035,0.24993,0.89549,0.99479,0.98885,0.99482,0.99318,0.18018,0.30196,0.25025,0.005545,0.005545,0.005545
47,20585.5,0.0572,0.24252,0.88981,0.99222,0.99494,0.99484,0.99456,0.19296,0.3176,0.26004,0.005446,0.005446,0.005446
48,21022.3,0.05577,0.23958,0.89134,0.9909,0.99265,0.99488,0.99443,0.16918,0.27205,0.23263,0.005347,0.005347,0.005347
49,21458.7,0.0564,0.23683,0.88924,0.99593,0.99606,0.99483,0.99483,0.17785,0.28142,0.23587,0.005248,0.005248,0.005248
50,21895.7,0.05387,0.23615,0.89185,0.99379,0.99607,0.99495,0.99489,0.17038,0.30875,0.22901,0.005149,0.005149,0.005149
51,22332.9,0.05352,0.22736,0.88966,0.9941,0.99695,0.99485,0.99479,0.16643,0.29335,0.22653,0.00505,0.00505,0.00505
52,22770.1,0.05438,0.23962,0.89226,0.99439,0.99811,0.99492,0.99492,0.18122,0.29454,0.25042,0.004951,0.004951,0.004951
53,23207.7,0.05326,0.23201,0.89072,0.99487,0.99494,0.99492,0.99492,0.15302,0.26522,0.22236,0.004852,0.004852,0.004852
54,23644.7,0.0534,0.22295,0.88973,0.99447,0.99386,0.99486,0.99486,0.16194,0.27435,0.21661,0.004753,0.004753,0.004753
55,24081.9,0.05146,0.21994,0.89023,0.99324,0.99694,0.9949,0.99471,0.1505,0.25933,0.22119,0.004654,0.004654,0.004654
56,24519.4,0.05299,0.22935,0.89195,0.99024,0.99735,0.99493,0.99493,0.16448,0.25948,0.22578,0.004555,0.004555,0.004555
57,24957.2,0.05164,0.22481,0.89179,0.99715,0.99734,0.99498,0.99495,0.15476,0.25168,0.21647,0.004456,0.004456,0.004456
58,25395.5,0.05045,0.22717,0.89129,0.99858,0.99803,0.995,0.995,0.16242,0.23244,0.22267,0.004357,0.004357,0.004357
